"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,";"buzzardLabel";17;"";;;
2;"U1";"SC70-6";1;"MCP4018";;;
3;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
4;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
5;"K2,K4";"easyC-connector";2;"easyC-SMD";;;
6;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
7;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
8;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
9;"R1,R3";"0603R";2;"10k";;;
10;"C1";"0603C";1;"100n";;;
11;"R2";"0402R";1;"2k2";;;
12;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
13;"D1";"0402LED";1;"purple";;;
14;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
15;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
16;"K1";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
17;"JP2";"SMD_JUMPER_3_PAD_TRACE";1;"SMD_JUMPER_3_PAD_TRACE";;;
18;"Ref**";"Version1.0.0.";1;"Val**";;;
19;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
